NL,SQL
list the number of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
list the number of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
give me customers where disbursement_amount over 3914 and tenure_months less than 389,SELECT * FROM loans WHERE disbursement_amount > 3914 AND tenure_months < 389;
what is the sum tenure_months of all loans,SELECT SUM(tenure_months) FROM loans;
display borrowers ordered by disbursement_amount in descending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount DESC;"
show clients ordered by disbursement_amount in ascending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount ASC;"
list the count of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
fetch the number of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
give me borrowers where age above 272,SELECT * FROM loans WHERE age > 272;
list people names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
show clients having disbursement_amount more than 29,SELECT * FROM loans WHERE disbursement_amount > 29;
show clients names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
list the total of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
show clients names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
what is the max tenure_months of all loans,SELECT MAX(tenure_months) FROM loans;
what is the max credit_score of all loans,SELECT MAX(credit_score) FROM loans;
show the count of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
show clients names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
what is the maximum credit_score of all loans,SELECT MAX(credit_score) FROM loans;
fetch people names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
fetch clients where tenure_months greater than 551,SELECT * FROM loans WHERE tenure_months > 551;
give me borrowers with disbursement_amount over 48485 and tenure_months under 563,SELECT * FROM loans WHERE disbursement_amount > 48485 AND tenure_months < 563;
give me people with age over 999,SELECT * FROM loans WHERE age > 999;
what is the average tenure_months of all loans,SELECT AVG(tenure_months) FROM loans;
list customers ordered by credit_score in descending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score DESC;"
what is the max disbursement_amount of all loans,SELECT MAX(disbursement_amount) FROM loans;
what is the lowest credit_score of all loans,SELECT MIN(credit_score) FROM loans;
give me clients ordered by disbursement_amount in ascending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount ASC;"
give me clients where disbursement_amount more than 693,SELECT * FROM loans WHERE disbursement_amount > 693;
list customers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
what is the minimum tenure_months of all loans,SELECT MIN(tenure_months) FROM loans;
give me people ordered by tenure_months in ascending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months ASC;"
display people where tenure_months over 34860 and credit_score less than 562,SELECT * FROM loans WHERE tenure_months > 34860 AND credit_score < 562;
list people where tenure_months more than 26373 and credit_score under 677,SELECT * FROM loans WHERE tenure_months > 26373 AND credit_score < 677;
fetch clients having tenure_months over 5192 and credit_score less than 799,SELECT * FROM loans WHERE tenure_months > 5192 AND credit_score < 799;
show people with credit_score over 22011 and disbursement_amount not exceeding 448,SELECT * FROM loans WHERE credit_score > 22011 AND disbursement_amount < 448;
show the total of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
fetch clients ordered by tenure_months in ascending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months ASC;"
show customers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
list the count of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
show people with age greater than 739,SELECT * FROM loans WHERE age > 739;
fetch borrowers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
fetch customers ordered by disbursement_amount in descending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount DESC;"
give me clients names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
give me the total of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
give me customers with credit_score above 18018 and disbursement_amount less than 516,SELECT * FROM loans WHERE credit_score > 18018 AND disbursement_amount < 516;
fetch borrowers where tenure_months above 26389 and credit_score less than 653,SELECT * FROM loans WHERE tenure_months > 26389 AND credit_score < 653;
fetch customers with disbursement_amount more than 16523 and tenure_months less than 396,SELECT * FROM loans WHERE disbursement_amount > 16523 AND tenure_months < 396;
list clients names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
show borrowers where credit_score more than 407,SELECT * FROM loans WHERE credit_score > 407;
show the count of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
give me borrowers where disbursement_amount greater than 285,SELECT * FROM loans WHERE disbursement_amount > 285;
fetch customers having age above 665,SELECT * FROM loans WHERE age > 665;
what is the max disbursement_amount of all loans,SELECT MAX(disbursement_amount) FROM loans;
fetch customers having tenure_months greater than 451,SELECT * FROM loans WHERE tenure_months > 451;
fetch people ordered by tenure_months in descending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months DESC;"
fetch people with credit_score over 739,SELECT * FROM loans WHERE credit_score > 739;
what is the minimum credit_score of all loans,SELECT MIN(credit_score) FROM loans;
what is the lowest tenure_months of all loans,SELECT MIN(tenure_months) FROM loans;
what is the highest disbursement_amount of all loans,SELECT MAX(disbursement_amount) FROM loans;
give me the count of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
show customers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
show clients ordered by credit_score in ascending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score ASC;"
display clients names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
display customers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
list people where tenure_months over 2751 and credit_score under 405,SELECT * FROM loans WHERE tenure_months > 2751 AND credit_score < 405;
give me people where credit_score above 28705 and disbursement_amount not exceeding 348,SELECT * FROM loans WHERE credit_score > 28705 AND disbursement_amount < 348;
give me the count of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
display borrowers ordered by disbursement_amount in descending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount DESC;"
list borrowers where tenure_months over 542,SELECT * FROM loans WHERE tenure_months > 542;
what is the total disbursement_amount of all loans,SELECT SUM(disbursement_amount) FROM loans;
what is the sum credit_score of all loans,SELECT SUM(credit_score) FROM loans;
show people ordered by tenure_months in ascending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months ASC;"
show customers having credit_score more than 40526 and tenure_months under 305,SELECT * FROM loans WHERE credit_score > 40526 AND tenure_months < 305;
list clients having tenure_months more than 269,SELECT * FROM loans WHERE tenure_months > 269;
what is the number credit_score of all loans,SELECT COUNT(credit_score) FROM loans;
give me customers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
what is the average disbursement_amount of all loans,SELECT AVG(disbursement_amount) FROM loans;
display people ordered by tenure_months in descending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months DESC;"
fetch people with credit_score over 14888 and disbursement_amount not exceeding 306,SELECT * FROM loans WHERE credit_score > 14888 AND disbursement_amount < 306;
fetch borrowers ordered by tenure_months in ascending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months ASC;"
give me borrowers ordered by disbursement_amount in ascending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount ASC;"
fetch people with tenure_months greater than 20935 and disbursement_amount below 735,SELECT * FROM loans WHERE tenure_months > 20935 AND disbursement_amount < 735;
give me borrowers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
what is the minimum disbursement_amount of all loans,SELECT MIN(disbursement_amount) FROM loans;
give me people having tenure_months over 37945 and credit_score below 650,SELECT * FROM loans WHERE tenure_months > 37945 AND credit_score < 650;
show clients ordered by credit_score in descending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score DESC;"
display borrowers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
list clients where disbursement_amount more than 3766 and credit_score less than 309,SELECT * FROM loans WHERE disbursement_amount > 3766 AND credit_score < 309;
give me borrowers where disbursement_amount over 33314 and tenure_months less than 354,SELECT * FROM loans WHERE disbursement_amount > 33314 AND tenure_months < 354;
display borrowers having tenure_months greater than 41081 and credit_score below 696,SELECT * FROM loans WHERE tenure_months > 41081 AND credit_score < 696;
give me borrowers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
give me people names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
give me borrowers ordered by disbursement_amount in ascending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount ASC;"
list people names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
what is the average disbursement_amount of all loans,SELECT AVG(disbursement_amount) FROM loans;
give me the count of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
what is the number tenure_months of all loans,SELECT COUNT(tenure_months) FROM loans;
list people ordered by credit_score in ascending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score ASC;"
list customers where credit_score more than 537,SELECT * FROM loans WHERE credit_score > 537;
give me customers having tenure_months over 49471 and disbursement_amount under 535,SELECT * FROM loans WHERE tenure_months > 49471 AND disbursement_amount < 535;
display borrowers ordered by credit_score in ascending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score ASC;"
display clients names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
show borrowers ordered by tenure_months in ascending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months ASC;"
list clients with tenure_months over 20178 and credit_score not exceeding 435,SELECT * FROM loans WHERE tenure_months > 20178 AND credit_score < 435;
fetch clients with disbursement_amount greater than 102,SELECT * FROM loans WHERE disbursement_amount > 102;
give me borrowers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
what is the max tenure_months of all loans,SELECT MAX(tenure_months) FROM loans;
list the count of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
give me the total of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
list borrowers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
fetch the total of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
what is the avg credit_score of all loans,SELECT AVG(credit_score) FROM loans;
what is the lowest disbursement_amount of all loans,SELECT MIN(disbursement_amount) FROM loans;
show clients with tenure_months more than 775,SELECT * FROM loans WHERE tenure_months > 775;
fetch clients with age above 582,SELECT * FROM loans WHERE age > 582;
list customers ordered by tenure_months in descending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months DESC;"
give me borrowers having tenure_months more than 241,SELECT * FROM loans WHERE tenure_months > 241;
list people having disbursement_amount greater than 14806 and tenure_months less than 642,SELECT * FROM loans WHERE disbursement_amount > 14806 AND tenure_months < 642;
give me the total of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
show the number of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
give me the count of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
what is the min tenure_months of all loans,SELECT MIN(tenure_months) FROM loans;
show customers ordered by disbursement_amount in descending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount DESC;"
show customers having age more than 850,SELECT * FROM loans WHERE age > 850;
what is the total credit_score of all loans,SELECT SUM(credit_score) FROM loans;
what is the minimum disbursement_amount of all loans,SELECT MIN(disbursement_amount) FROM loans;
give me clients names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
list people having credit_score above 6340 and tenure_months under 627,SELECT * FROM loans WHERE credit_score > 6340 AND tenure_months < 627;
display borrowers where disbursement_amount greater than 27585 and credit_score below 368,SELECT * FROM loans WHERE disbursement_amount > 27585 AND credit_score < 368;
give me clients ordered by credit_score in ascending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score ASC;"
list the number of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
fetch clients names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
display clients where disbursement_amount greater than 7842 and credit_score below 705,SELECT * FROM loans WHERE disbursement_amount > 7842 AND credit_score < 705;
show borrowers with disbursement_amount above 17252 and credit_score under 602,SELECT * FROM loans WHERE disbursement_amount > 17252 AND credit_score < 602;
show clients ordered by credit_score in ascending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score ASC;"
fetch borrowers having age greater than 785,SELECT * FROM loans WHERE age > 785;
fetch clients ordered by tenure_months in descending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months DESC;"
display people ordered by disbursement_amount in ascending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount ASC;"
show the number of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
give me customers where tenure_months more than 949,SELECT * FROM loans WHERE tenure_months > 949;
display clients with tenure_months greater than 45709 and disbursement_amount less than 450,SELECT * FROM loans WHERE tenure_months > 45709 AND disbursement_amount < 450;
list borrowers having credit_score above 6814 and tenure_months less than 686,SELECT * FROM loans WHERE credit_score > 6814 AND tenure_months < 686;
list customers ordered by credit_score in ascending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score ASC;"
give me customers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
give me customers having credit_score greater than 2159 and tenure_months under 450,SELECT * FROM loans WHERE credit_score > 2159 AND tenure_months < 450;
display borrowers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
list customers ordered by disbursement_amount in descending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount DESC;"
give me clients where age greater than 790,SELECT * FROM loans WHERE age > 790;
what is the min tenure_months of all loans,SELECT MIN(tenure_months) FROM loans;
give me customers ordered by disbursement_amount in descending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount DESC;"
list people ordered by tenure_months in descending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months DESC;"
fetch the count of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
display clients names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
what is the max tenure_months of all loans,SELECT MAX(tenure_months) FROM loans;
give me borrowers with credit_score more than 33273 and tenure_months less than 695,SELECT * FROM loans WHERE credit_score > 33273 AND tenure_months < 695;
show borrowers ordered by credit_score in ascending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score ASC;"
what is the min credit_score of all loans,SELECT MIN(credit_score) FROM loans;
fetch clients having tenure_months over 42,SELECT * FROM loans WHERE tenure_months > 42;
display customers having disbursement_amount over 40363 and tenure_months under 620,SELECT * FROM loans WHERE disbursement_amount > 40363 AND tenure_months < 620;
give me borrowers with tenure_months more than 19658 and disbursement_amount below 795,SELECT * FROM loans WHERE tenure_months > 19658 AND disbursement_amount < 795;
give me borrowers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
show people having tenure_months greater than 8761 and disbursement_amount less than 659,SELECT * FROM loans WHERE tenure_months > 8761 AND disbursement_amount < 659;
fetch customers where tenure_months over 25187 and credit_score below 406,SELECT * FROM loans WHERE tenure_months > 25187 AND credit_score < 406;
show customers where age greater than 275,SELECT * FROM loans WHERE age > 275;
show the number of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
display people names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
display customers with disbursement_amount over 25769 and tenure_months under 382,SELECT * FROM loans WHERE disbursement_amount > 25769 AND tenure_months < 382;
give me clients ordered by credit_score in ascending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score ASC;"
list customers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
show the number of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
display clients with credit_score greater than 545,SELECT * FROM loans WHERE credit_score > 545;
show the count of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
list clients names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
list clients where tenure_months over 525,SELECT * FROM loans WHERE tenure_months > 525;
list people having disbursement_amount more than 7532 and credit_score below 463,SELECT * FROM loans WHERE disbursement_amount > 7532 AND credit_score < 463;
give me the count of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
show the total of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
give me the number of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
list people where credit_score over 34773 and disbursement_amount less than 455,SELECT * FROM loans WHERE credit_score > 34773 AND disbursement_amount < 455;
list customers having disbursement_amount over 45398 and tenure_months not exceeding 764,SELECT * FROM loans WHERE disbursement_amount > 45398 AND tenure_months < 764;
fetch clients ordered by tenure_months in descending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months DESC;"
give me clients ordered by credit_score in descending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score DESC;"
list the number of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
fetch borrowers having credit_score over 747,SELECT * FROM loans WHERE credit_score > 747;
what is the count disbursement_amount of all loans,SELECT COUNT(disbursement_amount) FROM loans;
what is the lowest tenure_months of all loans,SELECT MIN(tenure_months) FROM loans;
give me customers having credit_score above 13761 and tenure_months under 385,SELECT * FROM loans WHERE credit_score > 13761 AND tenure_months < 385;
display people names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
what is the highest tenure_months of all loans,SELECT MAX(tenure_months) FROM loans;
show customers with disbursement_amount greater than 23482 and tenure_months under 753,SELECT * FROM loans WHERE disbursement_amount > 23482 AND tenure_months < 753;
list borrowers where tenure_months greater than 6282 and credit_score under 435,SELECT * FROM loans WHERE tenure_months > 6282 AND credit_score < 435;
display clients with credit_score more than 651,SELECT * FROM loans WHERE credit_score > 651;
show customers with tenure_months over 45235 and credit_score below 422,SELECT * FROM loans WHERE tenure_months > 45235 AND credit_score < 422;
give me borrowers ordered by tenure_months in ascending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months ASC;"
give me customers with credit_score above 389,SELECT * FROM loans WHERE credit_score > 389;
list the number of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
list borrowers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
what is the sum tenure_months of all loans,SELECT SUM(tenure_months) FROM loans;
fetch people where disbursement_amount greater than 49166 and credit_score not exceeding 780,SELECT * FROM loans WHERE disbursement_amount > 49166 AND credit_score < 780;
fetch clients with credit_score greater than 443,SELECT * FROM loans WHERE credit_score > 443;
give me customers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
what is the count credit_score of all loans,SELECT COUNT(credit_score) FROM loans;
what is the max tenure_months of all loans,SELECT MAX(tenure_months) FROM loans;
show the count of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
list people with credit_score greater than 12123 and tenure_months less than 372,SELECT * FROM loans WHERE credit_score > 12123 AND tenure_months < 372;
what is the maximum tenure_months of all loans,SELECT MAX(tenure_months) FROM loans;
display clients names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
what is the overall disbursement_amount of all loans,SELECT SUM(disbursement_amount) FROM loans;
list borrowers having credit_score over 654,SELECT * FROM loans WHERE credit_score > 654;
what is the min tenure_months of all loans,SELECT MIN(tenure_months) FROM loans;
what is the total tenure_months of all loans,SELECT SUM(tenure_months) FROM loans;
list customers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
list clients names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
show customers ordered by credit_score in descending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score DESC;"
show the total of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
what is the sum disbursement_amount of all loans,SELECT SUM(disbursement_amount) FROM loans;
list customers with disbursement_amount greater than 734,SELECT * FROM loans WHERE disbursement_amount > 734;
list people names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
display borrowers ordered by disbursement_amount in descending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount DESC;"
list clients names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
display borrowers having credit_score over 10592 and disbursement_amount less than 557,SELECT * FROM loans WHERE credit_score > 10592 AND disbursement_amount < 557;
display clients where disbursement_amount above 100,SELECT * FROM loans WHERE disbursement_amount > 100;
list people where tenure_months above 42904 and credit_score under 606,SELECT * FROM loans WHERE tenure_months > 42904 AND credit_score < 606;
list customers with credit_score over 34918 and disbursement_amount under 381,SELECT * FROM loans WHERE credit_score > 34918 AND disbursement_amount < 381;
display customers where credit_score more than 782,SELECT * FROM loans WHERE credit_score > 782;
display clients with tenure_months more than 83,SELECT * FROM loans WHERE tenure_months > 83;
display people where age over 272,SELECT * FROM loans WHERE age > 272;
what is the total disbursement_amount of all loans,SELECT SUM(disbursement_amount) FROM loans;
display customers where disbursement_amount above 23271 and credit_score under 391,SELECT * FROM loans WHERE disbursement_amount > 23271 AND credit_score < 391;
list the number of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
give me customers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
what is the highest credit_score of all loans,SELECT MAX(credit_score) FROM loans;
what is the overall tenure_months of all loans,SELECT SUM(tenure_months) FROM loans;
display the count of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
display customers where credit_score greater than 8266 and disbursement_amount under 532,SELECT * FROM loans WHERE credit_score > 8266 AND disbursement_amount < 532;
show borrowers ordered by credit_score in descending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score DESC;"
what is the lowest tenure_months of all loans,SELECT MIN(tenure_months) FROM loans;
fetch borrowers ordered by credit_score in ascending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score ASC;"
show borrowers having tenure_months greater than 6663 and credit_score under 693,SELECT * FROM loans WHERE tenure_months > 6663 AND credit_score < 693;
fetch customers having disbursement_amount above 697,SELECT * FROM loans WHERE disbursement_amount > 697;
what is the minimum tenure_months of all loans,SELECT MIN(tenure_months) FROM loans;
list borrowers with age greater than 202,SELECT * FROM loans WHERE age > 202;
what is the highest credit_score of all loans,SELECT MAX(credit_score) FROM loans;
list borrowers ordered by disbursement_amount in ascending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount ASC;"
fetch clients names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
display people names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
fetch customers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
give me people ordered by disbursement_amount in descending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount DESC;"
show customers having disbursement_amount over 27846 and tenure_months not exceeding 436,SELECT * FROM loans WHERE disbursement_amount > 27846 AND tenure_months < 436;
fetch the total of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
